Metric Name,Metric Unit,Maximum,Minimum,Average
memory_l1_wavefronts_shared,sectors,,,201326592.000000
memory_l1_wavefronts_shared_ideal,sectors,,,201326592.000000
memory_l2_theoretical_sectors_global,sectors,,,167772160.000000
memory_l2_theoretical_sectors_global_ideal,sectors,,,167772160.000000
memory_l2_theoretical_sectors_local,sectors,,,0.000000
memory_type,,,,0
numa__cpu_affinity,,,,0
numa__dev_display_name_all,,,,0
numa__id_cpu,,,,0
numa__id_memory,,,,0
nvlink__bandwidth,,,,0
nvlink__count_logical,,,,0
nvlink__count_physical,,,,0
nvlink__destination_ports,,,,0
nvlink__dev0Id,,,,0
nvlink__dev0type,,,,0
nvlink__dev1Id,,,,0
nvlink__dev1type,,,,0
nvlink__dev_display_name_all,,,,0
nvlink__enabled_mask,,,,0
nvlink__is_direct_link,,,,0
nvlink__is_nvswitch_connected,,,,0
nvlink__max_count,,,,0
nvlink__peer_access,,,,0
nvlink__peer_atomic,,,,0
nvlink__source_ports,,,,0
nvlink__system_access,,,,0
nvlink__system_atomic,,,,0
profiler__perfworks_session_reuse,,,,0
profiler__replayer_bytes_mem_accessible.avg,Gbyte,,,1.115685
profiler__replayer_bytes_mem_accessible.max,Gbyte,,,1.115685
profiler__replayer_bytes_mem_accessible.min,Gbyte,,,1.115685
profiler__replayer_bytes_mem_accessible.sum,Gbyte,,,37.933297
profiler__replayer_bytes_mem_backed_up.avg,Gbyte,,,1.115685
profiler__replayer_bytes_mem_backed_up.max,Gbyte,,,1.115685
profiler__replayer_bytes_mem_backed_up.min,Gbyte,,,1.115685
profiler__replayer_bytes_mem_backed_up.sum,Gbyte,,,37.933297
profiler__replayer_passes,pass,,,34.000000
profiler__replayer_passes_type_warmup,pass,,,0.000000
sass__inst_executed_global_loads,inst,,,67108864.000000
sass__inst_executed_global_stores,inst,,,4194304.000000
sass__inst_executed_local_loads,inst,,,0.000000
sass__inst_executed_local_stores,inst,,,0.000000
sass__inst_executed_per_opcode,,,,"2,258,894,848"
sass__inst_executed_per_opcode_with_modifier_all,,,,"2,258,894,848"
sass__inst_executed_per_opcode_with_modifier_selective,,,,"2,258,894,848"
sass__inst_executed_shared_loads,inst,,,134217728.000000
sass__inst_executed_shared_stores,inst,,,67108864.000000
sass__thread_inst_executed_true_per_opcode,,,,"67,972,890,624"
sass__thread_inst_executed_true_per_opcode_with_modifier_all,,,,"67,972,890,624"
sass__thread_inst_executed_true_per_opcode_with_modifier_selective,,,,"67,972,890,624"
sm__cycles_active.avg,cycle,,,30227691.891304
sm__cycles_elapsed.avg.per_second,cycle/nsecond,,,1.496553
sm__inst_executed.avg.pct_of_peak_sustained_elapsed,%,,,40.425716
sm__inst_executed.avg.per_cycle_active,inst/cycle,,,1.624550
sm__inst_executed.avg.per_cycle_elapsed,inst/cycle,,,1.617029
sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_active,%,,,2.526282
sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_elapsed,%,,,2.514586
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active,%,,,33.765461
sm__inst_executed_pipe_cbu.avg.pct_of_peak_sustained_active,%,,,1.838153
sm__inst_executed_pipe_cbu_pred_on_any.avg.pct_of_peak_sustained_elapsed,%,,,6.734283
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active,%,,,10.666002
sm__inst_executed_pipe_fma_type_fp16.avg.pct_of_peak_sustained_active,%,,,0.000000
sm__inst_executed_pipe_fp64_op_dmma.avg.pct_of_peak_sustained_active,%,,,0.000000
sm__inst_executed_pipe_fp64_op_fp64.avg.pct_of_peak_sustained_active,%,,,0.000000
sm__inst_executed_pipe_ipa.avg.pct_of_peak_sustained_elapsed,%,,,0.000000
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,%,,,52.599463
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed,%,,,52.355923
sm__inst_executed_pipe_tensor_op_hmma.avg.pct_of_peak_sustained_active,%,,,9.652661
sm__inst_executed_pipe_tensor_op_imma.avg.pct_of_peak_sustained_active,%,,,0.000000
sm__inst_executed_pipe_tex.avg.pct_of_peak_sustained_active,%,,,0.000000
sm__inst_executed_pipe_tex.avg.pct_of_peak_sustained_elapsed,%,,,0.000000
sm__inst_executed_pipe_uniform.avg.pct_of_peak_sustained_active,%,,,3.063589
sm__inst_executed_pipe_uniform.avg.pct_of_peak_sustained_elapsed,%,,,3.049404
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active,%,,,0.000000
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_elapsed,%,,,0.000000
sm__inst_issued.avg.pct_of_peak_sustained_active,%,,,40.618686
sm__inst_issued.avg.per_cycle_active,inst/cycle,,,1.624747
sm__inst_issued.max.pct_of_peak_sustained_active,%,,,40.712902
sm__instruction_throughput.avg.pct_of_peak_sustained_active,%,,,40.618686
sm__issue_active.avg.pct_of_peak_sustained_elapsed,%,,,40.430618
sm__maximum_warps_avg_per_active_cycle,warp,,,32.000000
sm__maximum_warps_per_active_cycle_pct,%,,,66.666667
sm__memory_throughput.avg.pct_of_peak_sustained_elapsed,%,,,52.355923
sm__mio2rf_writeback_active.avg.pct_of_peak_sustained_elapsed,%,,,10.539253
sm__mio_inst_issued.avg.pct_of_peak_sustained_elapsed,%,,,18.290169
sm__mio_pq_read_cycles_active.avg.pct_of_peak_sustained_elapsed,%,,,10.243624
sm__mio_pq_write_cycles_active.avg.pct_of_peak_sustained_elapsed,%,,,10.208467
sm__pipe_alu_cycles_active.avg.pct_of_peak_sustained_active,%,,,33.765461
sm__pipe_alu_cycles_active.avg.pct_of_peak_sustained_elapsed,%,,,33.609125
sm__pipe_fma_cycles_active.avg.pct_of_peak_sustained_active,%,,,13.116873
sm__pipe_fma_cycles_active.avg.pct_of_peak_sustained_elapsed,%,,,13.056141
sm__pipe_fmaheavy_cycles_active.avg.pct_of_peak_sustained_elapsed,%,,,26.112282
sm__pipe_fp64_cycles_active.avg.pct_of_peak_sustained_active,%,,,0.000000
sm__pipe_fp64_cycles_active.avg.pct_of_peak_sustained_elapsed,%,,,0.000000
sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active,%,,,19.305322
sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed,%,,,19.215937
sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_active,%,,,19.305322
sm__pipe_tensor_op_imma_cycles_active.avg.pct_of_peak_sustained_active,%,,,0.000000
sm__sass_inst_executed_op_ldgsts_cache_access.sum,inst,,,0.000000
sm__sass_inst_executed_op_ldgsts_cache_bypass.sum,inst,,,0.000000
sm__sass_l1tex_data_bytes_write_pipe_lsu_mem_shared_op_ldgsts_cache_access.sum,byte,,,0.000000
sm__sass_l1tex_data_bytes_write_pipe_lsu_mem_shared_op_ldgsts_cache_access.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
sm__sass_l1tex_data_bytes_write_pipe_lsu_mem_shared_op_ldgsts_cache_access.sum.per_second,byte/second,,,0.000000
sm__sass_l1tex_m_xbar2l1tex_read_bytes_mem_global_op_ldgsts_cache_bypass.sum,byte,,,0.000000
sm__sass_l1tex_m_xbar2l1tex_read_bytes_mem_global_op_ldgsts_cache_bypass.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
sm__sass_l1tex_m_xbar2l1tex_read_bytes_mem_global_op_ldgsts_cache_bypass.sum.per_second,byte/second,,,0.000000
sm__sass_l1tex_t_requests_pipe_lsu_mem_global_op_ldgsts.sum,request,,,0.000000
sm__sass_l1tex_t_requests_pipe_lsu_mem_global_op_ldgsts.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
sm__sass_l1tex_t_requests_pipe_lsu_mem_global_op_ldgsts_cache_access.sum,request,,,0.000000
sm__sass_l1tex_t_requests_pipe_lsu_mem_global_op_ldgsts_cache_bypass.sum,request,,,0.000000
sm__sass_l1tex_t_sectors_pipe_lsu_mem_global_op_ldgsts_cache_access.sum,sector,,,0.000000
sm__sass_l1tex_t_sectors_pipe_lsu_mem_global_op_ldgsts_cache_access.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
sm__sass_l1tex_t_sectors_pipe_lsu_mem_global_op_ldgsts_cache_bypass.sum,sector,,,0.000000
sm__sass_l1tex_t_sectors_pipe_lsu_mem_global_op_ldgsts_cache_bypass.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
sm__sass_thread_inst_executed_op_dfma_pred_on.sum.peak_sustained,inst/cycle,,,92.000000
sm__sass_thread_inst_executed_op_ffma_pred_on.sum.peak_sustained,inst/cycle,,,5888.000000
sm__throughput.avg.pct_of_peak_sustained_elapsed,%,,,52.355923
sm__warps_active.avg.pct_of_peak_sustained_active,%,,,66.395268
sm__warps_active.avg.per_cycle_active,warp,,,31.869729
smsp__average_warp_latency_per_inst_issued.ratio,cycle,,,19.581475
smsp__average_warps_active_per_inst_executed.ratio,cycle,,,19.583849
smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio,inst,,,2.546928
smsp__average_warps_issue_stalled_branch_resolving_per_issue_active.ratio,inst,,,0.206057
smsp__average_warps_issue_stalled_dispatch_stall_per_issue_active.ratio,inst,,,0.519240
smsp__average_warps_issue_stalled_drain_per_issue_active.ratio,inst,,,0.063419
smsp__average_warps_issue_stalled_imc_miss_per_issue_active.ratio,inst,,,0.000428
smsp__average_warps_issue_stalled_lg_throttle_per_issue_active.ratio,inst,,,0.899904
smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio,inst,,,5.546068
smsp__average_warps_issue_stalled_math_pipe_throttle_per_issue_active.ratio,inst,,,2.823667
smsp__average_warps_issue_stalled_membar_per_issue_active.ratio,inst,,,0.000000
smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio,inst,,,1.477087
smsp__average_warps_issue_stalled_misc_per_issue_active.ratio,inst,,,0.000000
smsp__average_warps_issue_stalled_no_instruction_per_issue_active.ratio,inst,,,0.057702
smsp__average_warps_issue_stalled_not_selected_per_issue_active.ratio,inst,,,1.301039
smsp__average_warps_issue_stalled_selected_per_issue_active.ratio,inst,,,1.000000
smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio,inst,,,0.747568
smsp__average_warps_issue_stalled_sleeping_per_issue_active.ratio,inst,,,0.000000
smsp__average_warps_issue_stalled_tex_throttle_per_issue_active.ratio,inst,,,0.000001
smsp__average_warps_issue_stalled_wait_per_issue_active.ratio,inst,,,2.450020
smsp__branch_targets_threads_divergent,,,,0
smsp__cycles_elapsed.avg.per_second,cycle/nsecond,,,1.496553
smsp__cycles_elapsed.sum,cycle,,,5587767112.000000
smsp__inst_executed.avg,inst,,,12276602.434783
smsp__inst_executed.sum,inst,,,2258894848.000000
smsp__inst_executed_op_branch.sum,inst,,,144965632.000000
smsp__inst_executed_op_generic_atom_dot_alu.sum,inst,,,0.000000
smsp__inst_executed_op_generic_atom_dot_alu.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
smsp__inst_executed_op_generic_atom_dot_cas.sum,inst,,,0.000000
smsp__inst_executed_op_generic_atom_dot_cas.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
smsp__inst_executed_op_global_red.sum,inst,,,0.000000
smsp__inst_executed_op_global_red.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
smsp__inst_executed_op_ldgsts.sum,inst,,,0.000000
smsp__inst_executed_op_ldgsts.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
smsp__inst_executed_op_ldsm.sum,inst,,,0.000000
smsp__inst_executed_op_ldsm.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
smsp__inst_executed_op_shared_atom.sum,inst,,,0.000000
smsp__inst_executed_op_shared_atom.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
smsp__inst_executed_op_surface_atom_dot_alu.sum,inst,,,0.000000
smsp__inst_executed_op_surface_atom_dot_alu.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
smsp__inst_executed_op_surface_atom_dot_cas.sum,inst,,,0.000000
smsp__inst_executed_op_surface_atom_dot_cas.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
smsp__inst_executed_op_surface_ld.sum,inst,,,0.000000
smsp__inst_executed_op_surface_ld.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
smsp__inst_executed_op_surface_red.sum,inst,,,0.000000
smsp__inst_executed_op_surface_red.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
smsp__inst_executed_op_surface_st.sum,inst,,,0.000000
smsp__inst_executed_op_surface_st.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
smsp__inst_executed_op_texture.sum,inst,,,0.000000
smsp__inst_executed_op_texture.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
smsp__inst_issued.avg,inst,,,12278091.315217
smsp__inst_issued.sum,inst,,,2259168802.000000
smsp__issue_active.avg.pct_of_peak_sustained_active,%,,,40.546926
smsp__issue_active.avg.per_cycle_active,,,,0.41
smsp__issue_inst0.avg.pct_of_peak_sustained_active,%,,,59.453074
smsp__maximum_warps_avg_per_active_cycle,warp,,,8.000000
smsp__pcsamp_aggregated_passes,pass,,,2.000000
smsp__pcsamp_buffer_size_bytes,Mbyte,,,33.554432
smsp__pcsamp_dropped_bytes,byte,,,0.000000
smsp__pcsamp_interval,,,,5
smsp__pcsamp_interval_cycles,cycle,,,1024.000000
smsp__pcsamp_sample_count,,,,"1,359,821"
smsp__pcsamp_warps_issue_stalled_barrier,warp,,,176266.000000
smsp__pcsamp_warps_issue_stalled_barrier_not_issued,warp,,,121762.000000
smsp__pcsamp_warps_issue_stalled_branch_resolving,warp,,,14299.000000
smsp__pcsamp_warps_issue_stalled_branch_resolving_not_issued,warp,,,7448.000000
smsp__pcsamp_warps_issue_stalled_dispatch_stall,warp,,,35789.000000
smsp__pcsamp_warps_issue_stalled_dispatch_stall_not_issued,warp,,,10932.000000
smsp__pcsamp_warps_issue_stalled_drain,warp,,,4281.000000
smsp__pcsamp_warps_issue_stalled_drain_not_issued,warp,,,4067.000000
smsp__pcsamp_warps_issue_stalled_imc_miss,warp,,,46.000000
smsp__pcsamp_warps_issue_stalled_imc_miss_not_issued,warp,,,42.000000
smsp__pcsamp_warps_issue_stalled_lg_throttle,warp,,,64319.000000
smsp__pcsamp_warps_issue_stalled_lg_throttle_not_issued,warp,,,52770.000000
smsp__pcsamp_warps_issue_stalled_long_scoreboard,warp,,,381947.000000
smsp__pcsamp_warps_issue_stalled_long_scoreboard_not_issued,warp,,,222400.000000
smsp__pcsamp_warps_issue_stalled_math_pipe_throttle,warp,,,194986.000000
smsp__pcsamp_warps_issue_stalled_math_pipe_throttle_not_issued,warp,,,94277.000000
smsp__pcsamp_warps_issue_stalled_membar,warp,,,0.000000
smsp__pcsamp_warps_issue_stalled_membar_not_issued,warp,,,0.000000
smsp__pcsamp_warps_issue_stalled_mio_throttle,warp,,,104278.000000
smsp__pcsamp_warps_issue_stalled_mio_throttle_not_issued,warp,,,91404.000000
smsp__pcsamp_warps_issue_stalled_misc,warp,,,0.000000
smsp__pcsamp_warps_issue_stalled_misc_not_issued,warp,,,0.000000
smsp__pcsamp_warps_issue_stalled_no_instructions,inst,,,3826.000000
smsp__pcsamp_warps_issue_stalled_no_instructions_not_issued,inst,,,1471.000000
smsp__pcsamp_warps_issue_stalled_not_selected,warp,,,89792.000000
smsp__pcsamp_warps_issue_stalled_not_selected_not_issued,warp,,,0.000000
smsp__pcsamp_warps_issue_stalled_selected,warp,,,69017.000000
smsp__pcsamp_warps_issue_stalled_selected_not_issued,warp,,,0.000000
smsp__pcsamp_warps_issue_stalled_short_scoreboard,warp,,,51245.000000
smsp__pcsamp_warps_issue_stalled_short_scoreboard_not_issued,warp,,,33016.000000
smsp__pcsamp_warps_issue_stalled_sleeping,warp,,,0.000000
smsp__pcsamp_warps_issue_stalled_sleeping_not_issued,warp,,,0.000000
smsp__pcsamp_warps_issue_stalled_tex_throttle,warp,,,1.000000
smsp__pcsamp_warps_issue_stalled_tex_throttle_not_issued,warp,,,1.000000
smsp__pcsamp_warps_issue_stalled_wait,warp,,,169729.000000
smsp__pcsamp_warps_issue_stalled_wait_not_issued,warp,,,76831.000000
smsp__sass_average_branch_targets_threads_uniform.pct,%,,,100.000000
smsp__sass_branch_targets_threads_divergent.avg,,,,0
smsp__sass_inst_executed_memdesc_explicit_evict_type,,,,0
smsp__sass_inst_executed_memdesc_explicit_hitprop_evict_first,inst,,,0.000000
smsp__sass_inst_executed_memdesc_explicit_hitprop_evict_last,inst,,,0.000000
smsp__sass_inst_executed_memdesc_explicit_hitprop_evict_normal,inst,,,0.000000
smsp__sass_inst_executed_memdesc_explicit_hitprop_evict_normal_demote,inst,,,0.000000
smsp__sass_inst_executed_memdesc_explicit_missprop_evict_first,inst,,,0.000000
smsp__sass_inst_executed_memdesc_explicit_missprop_evict_normal,inst,,,0.000000
smsp__sass_inst_executed_op_global_ld.sum,inst,,,67108864.000000
smsp__sass_inst_executed_op_global_st.sum,inst,,,4194304.000000
smsp__sass_inst_executed_op_local_ld.sum,inst,,,0.000000
smsp__sass_inst_executed_op_local_st.sum,inst,,,0.000000
smsp__sass_inst_executed_op_memory_128b.sum,inst,,,0.000000
smsp__sass_inst_executed_op_memory_16b.sum,inst,,,134217728.000000
smsp__sass_inst_executed_op_memory_32b.sum,inst,,,134217728.000000
smsp__sass_inst_executed_op_memory_64b.sum,inst,,,4194304.000000
smsp__sass_inst_executed_op_memory_8b.sum,inst,,,0.000000
smsp__sass_inst_executed_op_shared_ld.sum,inst,,,134217728.000000
smsp__sass_inst_executed_op_shared_st.sum,inst,,,67108864.000000
smsp__sass_l1tex_data_bank_conflicts_pipe_lsu_mem_shared_op_ldgsts.sum,,,,0
smsp__sass_l1tex_data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,,,,0
smsp__sass_l1tex_data_pipe_lsu_wavefronts_mem_shared_op_ldgsts.sum,,,,0
smsp__sass_l1tex_data_pipe_lsu_wavefronts_mem_shared_op_ldgsts.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
smsp__sass_l1tex_data_pipe_lsu_wavefronts_mem_shared_op_ldgsts_cache_access.sum,,,,0
smsp__sass_l1tex_data_pipe_lsu_wavefronts_mem_shared_op_ldgsts_cache_access.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
smsp__sass_l1tex_data_pipe_lsu_wavefronts_mem_shared_op_st.sum,,,,"67,108,864"
smsp__sass_l1tex_data_pipe_lsu_wavefronts_mem_shared_op_st.sum.pct_of_peak_sustained_elapsed,%,,,1.200996
smsp__sass_l1tex_m_xbar2l1tex_read_sectors_mem_global_op_ldgsts_cache_bypass.sum,sector,,,0.000000
smsp__sass_l1tex_m_xbar2l1tex_read_sectors_mem_global_op_ldgsts_cache_bypass.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
smsp__sass_thread_inst_executed_op_dadd_pred_on.sum.per_cycle_elapsed,inst/cycle,,,0.000000
smsp__sass_thread_inst_executed_op_dfma_pred_on.sum.per_cycle_elapsed,inst/cycle,,,0.000000
smsp__sass_thread_inst_executed_op_dmul_pred_on.sum.per_cycle_elapsed,inst/cycle,,,0.000000
smsp__sass_thread_inst_executed_op_fadd_pred_on.sum.per_cycle_elapsed,inst/cycle,,,0.000000
smsp__sass_thread_inst_executed_op_ffma_pred_on.sum.per_cycle_elapsed,inst/cycle,,,0.000000
smsp__sass_thread_inst_executed_op_fmul_pred_on.sum.per_cycle_elapsed,inst/cycle,,,0.000000
smsp__thread_inst_executed_per_inst_executed.ratio,,,,32
smsp__thread_inst_executed_pred_on_per_inst_executed.ratio,,,,30.09
smsp__warps_active.avg.peak_sustained,warp,,,12.000000
smsp__warps_active.avg.per_cycle_active,warp,,,7.939686
smsp__warps_eligible.avg.per_cycle_active,warp,,,0.933533
thread_inst_executed,inst,,,72284635136.000000
thread_inst_executed_true,inst,,,67972890624.000000
